Annotation source,Category/term pathway,Functional group,Gene count,Representative genes/proteins in B13
COG,[P] Inorganic ion transport and metabolism,Functional mechanisms,256,OGCDPPDJ_00029 (Uncharacterized); OGCDPPDJ_00030 (Uncharacterized); OGCDPPDJ_00031 (Uncharacterized); OGCDPPDJ_00032 (Uncharacterized); OGCDPPDJ_00037 (Uncharacterized); OGCDPPDJ_00041 (Uncharacterized); OGCDPPDJ_00044 (Uncharacterized); OGCDPPDJ_00045 (Uncharacterized); OGCDPPDJ_00046 (Uncharacterized); OGCDPPDJ_00061 (Uncharacterized); OGCDPPDJ_00062 (Uncharacterized); OGCDPPDJ_00071 (Uncharacterized); OGCDPPDJ_00075 (Uncharacterized); OGCDPPDJ_00077 (Uncharacterized); OGCDPPDJ_00078 (Uncharacterized); OGCDPPDJ_00168 (Uncharacterized); OGCDPPDJ_00199 (Uncharacterized); OGCDPPDJ_00202 (Uncharacterized); OGCDPPDJ_00332 (Uncharacterized); OGCDPPDJ_00345 (Uncharacterized); OGCDPPDJ_00365 (Uncharacterized); OGCDPPDJ_00366 (Uncharacterized); OGCDPPDJ_00392 (Uncharacterized); OGCDPPDJ_00450 (Uncharacterized); OGCDPPDJ_00451 (Uncharacterized); OGCDPPDJ_00457 (Uncharacterized); OGCDPPDJ_00464 (Uncharacterized); OGCDPPDJ_00542 (Uncharacterized); OGCDPPDJ_00580 (Uncharacterized); OGCDPPDJ_00613 (Uncharacterized); OGCDPPDJ_00620 (Uncharacterized); OGCDPPDJ_00621 (Uncharacterized); OGCDPPDJ_00623 (Uncharacterized); OGCDPPDJ_00624 (Uncharacterized); OGCDPPDJ_00625 (Uncharacterized); OGCDPPDJ_00626 (Uncharacterized); OGCDPPDJ_00627 (Uncharacterized); OGCDPPDJ_00645 (Uncharacterized); OGCDPPDJ_00649 (Uncharacterized); OGCDPPDJ_00671 (Uncharacterized); OGCDPPDJ_00725 (Uncharacterized); OGCDPPDJ_00777 (Uncharacterized); OGCDPPDJ_00926 (Uncharacterized); OGCDPPDJ_01204 (Uncharacterized); OGCDPPDJ_01206 (Uncharacterized); OGCDPPDJ_01211 (Uncharacterized); OGCDPPDJ_01308 (Uncharacterized); OGCDPPDJ_01313 (Uncharacterized); OGCDPPDJ_01439 (Uncharacterized); OGCDPPDJ_01440 (Uncharacterized); OGCDPPDJ_01443 (Uncharacterized); OGCDPPDJ_01466 (Uncharacterized); OGCDPPDJ_01483 (Uncharacterized); OGCDPPDJ_01495 (Uncharacterized); OGCDPPDJ_01496 (Uncharacterized); OGCDPPDJ_01497 (Uncharacterized); OGCDPPDJ_01498 (Uncharacterized); OGCDPPDJ_01499 (Uncharacterized); OGCDPPDJ_01500 (Uncharacterized); OGCDPPDJ_01501 (Uncharacterized); OGCDPPDJ_01590 (Uncharacterized); OGCDPPDJ_01593 (Uncharacterized); OGCDPPDJ_01609 (Uncharacterized); OGCDPPDJ_01610 (Uncharacterized); OGCDPPDJ_01611 (Uncharacterized); OGCDPPDJ_01617 (Uncharacterized); OGCDPPDJ_01626 (Uncharacterized); OGCDPPDJ_01631 (Uncharacterized); OGCDPPDJ_01635 (Uncharacterized); OGCDPPDJ_01651 (Uncharacterized); OGCDPPDJ_01653 (Uncharacterized); OGCDPPDJ_01654 (Uncharacterized); OGCDPPDJ_01655 (Uncharacterized); OGCDPPDJ_01668 (Uncharacterized); OGCDPPDJ_01669 (Uncharacterized); OGCDPPDJ_01670 (Uncharacterized); OGCDPPDJ_01671 (Uncharacterized); OGCDPPDJ_01676 (Uncharacterized); OGCDPPDJ_01677 (Uncharacterized); OGCDPPDJ_01678 (Uncharacterized); OGCDPPDJ_01681 (Uncharacterized); OGCDPPDJ_01682 (Uncharacterized); OGCDPPDJ_01683 (Uncharacterized); OGCDPPDJ_01688 (Uncharacterized); OGCDPPDJ_01689 (Uncharacterized); OGCDPPDJ_01690 (Uncharacterized); OGCDPPDJ_01696 (Uncharacterized); OGCDPPDJ_01765 (Uncharacterized); OGCDPPDJ_01767 (Uncharacterized); OGCDPPDJ_01770 (Uncharacterized); OGCDPPDJ_01772 (Uncharacterized); OGCDPPDJ_01804 (Uncharacterized); OGCDPPDJ_01805 (Uncharacterized); OGCDPPDJ_01838 (Uncharacterized); OGCDPPDJ_01839 (Uncharacterized); OGCDPPDJ_01849 (Uncharacterized); OGCDPPDJ_01850 (Uncharacterized); OGCDPPDJ_01856 (Uncharacterized); OGCDPPDJ_01857 (Uncharacterized); OGCDPPDJ_01892 (Uncharacterized); OGCDPPDJ_01910 (Uncharacterized); OGCDPPDJ_02003 (Uncharacterized); OGCDPPDJ_02012 (Uncharacterized); OGCDPPDJ_02013 (Uncharacterized); OGCDPPDJ_02051 (Uncharacterized); OGCDPPDJ_02052 (Uncharacterized); OGCDPPDJ_02054 (Uncharacterized); OGCDPPDJ_02057 (Uncharacterized); OGCDPPDJ_02101 (Uncharacterized); OGCDPPDJ_02139 (Uncharacterized); OGCDPPDJ_02146 (Uncharacterized); OGCDPPDJ_02177 (Uncharacterized); OGCDPPDJ_02182 (Uncharacterized); OGCDPPDJ_02210 (Uncharacterized); OGCDPPDJ_02232 (Uncharacterized); OGCDPPDJ_02233 (Uncharacterized); OGCDPPDJ_02234 (Uncharacterized); OGCDPPDJ_02240 (Uncharacterized); OGCDPPDJ_02255 (Uncharacterized); OGCDPPDJ_02271 (Uncharacterized); OGCDPPDJ_02272 (Uncharacterized); OGCDPPDJ_02289 (Uncharacterized); OGCDPPDJ_02311 (Uncharacterized); OGCDPPDJ_02368 (Uncharacterized); OGCDPPDJ_02369 (Uncharacterized); OGCDPPDJ_02380 (Uncharacterized); OGCDPPDJ_02390 (Uncharacterized); OGCDPPDJ_02416 (Uncharacterized); OGCDPPDJ_02440 (Uncharacterized); OGCDPPDJ_02483 (Uncharacterized); OGCDPPDJ_02499 (Uncharacterized); OGCDPPDJ_02510 (Uncharacterized); OGCDPPDJ_02518 (Uncharacterized); OGCDPPDJ_02549 (Uncharacterized); OGCDPPDJ_02593 (Uncharacterized); OGCDPPDJ_02607 (Uncharacterized); OGCDPPDJ_02608 (Uncharacterized); OGCDPPDJ_02655 (Uncharacterized); OGCDPPDJ_02772 (Uncharacterized); OGCDPPDJ_02777 (Uncharacterized); OGCDPPDJ_02778 (Uncharacterized); OGCDPPDJ_02779 (Uncharacterized); OGCDPPDJ_02803 (Uncharacterized); OGCDPPDJ_02891 (Uncharacterized); OGCDPPDJ_02892 (Uncharacterized); OGCDPPDJ_02937 (Uncharacterized); OGCDPPDJ_02958 (Uncharacterized); OGCDPPDJ_02997 (Uncharacterized); OGCDPPDJ_03003 (Uncharacterized); OGCDPPDJ_03017 (Uncharacterized); OGCDPPDJ_03026 (Uncharacterized); OGCDPPDJ_03027 (Uncharacterized); OGCDPPDJ_03039 (Uncharacterized); OGCDPPDJ_03040 (Uncharacterized); OGCDPPDJ_03055 (Uncharacterized); OGCDPPDJ_03056 (Uncharacterized); OGCDPPDJ_03057 (Uncharacterized); OGCDPPDJ_03066 (Uncharacterized); OGCDPPDJ_03067 (Uncharacterized); OGCDPPDJ_03106 (Uncharacterized); OGCDPPDJ_03130 (Uncharacterized); OGCDPPDJ_03280 (Uncharacterized); OGCDPPDJ_03303 (Uncharacterized); OGCDPPDJ_03317 (Uncharacterized); OGCDPPDJ_03320 (Uncharacterized); OGCDPPDJ_03322 (Uncharacterized); OGCDPPDJ_03323 (Uncharacterized); OGCDPPDJ_03324 (Uncharacterized); OGCDPPDJ_03328 (Uncharacterized); OGCDPPDJ_03329 (Uncharacterized); OGCDPPDJ_03332 (Uncharacterized); OGCDPPDJ_03373 (Uncharacterized); OGCDPPDJ_03379 (Uncharacterized); OGCDPPDJ_03380 (Uncharacterized); OGCDPPDJ_03412 (Uncharacterized); OGCDPPDJ_03477 (Uncharacterized); OGCDPPDJ_03482 (Uncharacterized); OGCDPPDJ_03483 (Uncharacterized); OGCDPPDJ_03506 (Uncharacterized); OGCDPPDJ_03523 (Uncharacterized); OGCDPPDJ_03561 (Uncharacterized); OGCDPPDJ_03579 (Uncharacterized); OGCDPPDJ_03581 (Uncharacterized); OGCDPPDJ_03582 (Uncharacterized); OGCDPPDJ_03598 (Uncharacterized); OGCDPPDJ_03607 (Uncharacterized); OGCDPPDJ_03613 (Uncharacterized); OGCDPPDJ_03619 (Uncharacterized); OGCDPPDJ_03646 (Uncharacterized); OGCDPPDJ_03660 (Uncharacterized); OGCDPPDJ_03663 (Uncharacterized); OGCDPPDJ_03679 (Uncharacterized); OGCDPPDJ_03724 (Uncharacterized); OGCDPPDJ_03736 (Uncharacterized); OGCDPPDJ_03740 (Uncharacterized); OGCDPPDJ_03743 (Uncharacterized); OGCDPPDJ_03755 (Uncharacterized); OGCDPPDJ_03773 (Uncharacterized); OGCDPPDJ_03787 (Uncharacterized); OGCDPPDJ_03798 (Uncharacterized); OGCDPPDJ_03799 (Uncharacterized); OGCDPPDJ_03800 (Uncharacterized); OGCDPPDJ_03801 (Uncharacterized); OGCDPPDJ_03802 (Uncharacterized); OGCDPPDJ_03810 (Uncharacterized); OGCDPPDJ_03824 (Uncharacterized); OGCDPPDJ_03831 (Uncharacterized); OGCDPPDJ_03850 (Uncharacterized); OGCDPPDJ_03854 (Uncharacterized); OGCDPPDJ_03858 (Uncharacterized); OGCDPPDJ_03881 (Uncharacterized); OGCDPPDJ_03889 (Uncharacterized); OGCDPPDJ_03892 (Uncharacterized); OGCDPPDJ_03893 (Uncharacterized); OGCDPPDJ_03894 (Uncharacterized); OGCDPPDJ_03896 (Uncharacterized); OGCDPPDJ_03901 (Uncharacterized); OGCDPPDJ_03902 (Uncharacterized); OGCDPPDJ_03903 (Uncharacterized); OGCDPPDJ_03912 (Uncharacterized); OGCDPPDJ_03913 (Uncharacterized); OGCDPPDJ_03921 (Uncharacterized); OGCDPPDJ_03926 (Uncharacterized); OGCDPPDJ_03999 (Uncharacterized); OGCDPPDJ_04004 (Uncharacterized); OGCDPPDJ_04006 (Uncharacterized); OGCDPPDJ_04028 (Uncharacterized); OGCDPPDJ_04029 (Uncharacterized); OGCDPPDJ_04030 (Uncharacterized); OGCDPPDJ_04034 (Uncharacterized); OGCDPPDJ_04072 (Uncharacterized); OGCDPPDJ_04141 (Uncharacterized); OGCDPPDJ_04148 (Uncharacterized); OGCDPPDJ_04183 (Uncharacterized); OGCDPPDJ_04191 (Uncharacterized); OGCDPPDJ_04198 (Uncharacterized); OGCDPPDJ_04199 (Uncharacterized); OGCDPPDJ_04200 (Uncharacterized); OGCDPPDJ_04201 (Uncharacterized); OGCDPPDJ_04205 (Uncharacterized); OGCDPPDJ_04232 (Uncharacterized); OGCDPPDJ_04238 (Uncharacterized); OGCDPPDJ_04239 (Uncharacterized); OGCDPPDJ_04246 (Uncharacterized); OGCDPPDJ_04286 (Uncharacterized); OGCDPPDJ_04288 (Uncharacterized); OGCDPPDJ_04291 (Uncharacterized); OGCDPPDJ_04292 (Uncharacterized); OGCDPPDJ_04293 (Uncharacterized); OGCDPPDJ_04302 (Uncharacterized); OGCDPPDJ_04321 (Uncharacterized); OGCDPPDJ_04334 (Uncharacterized); OGCDPPDJ_04335 (Uncharacterized); OGCDPPDJ_04336 (Uncharacterized); OGCDPPDJ_04456 (Uncharacterized); OGCDPPDJ_04479 (Uncharacterized)
COG,[T] Signal transduction mechanisms,Functional mechanisms,163,OGCDPPDJ_00013 (Uncharacterized); OGCDPPDJ_00022 (Uncharacterized); OGCDPPDJ_00038 (Uncharacterized); OGCDPPDJ_00066 (Uncharacterized); OGCDPPDJ_00067 (Uncharacterized); OGCDPPDJ_00072 (Uncharacterized); OGCDPPDJ_00139 (Uncharacterized); OGCDPPDJ_00140 (Uncharacterized); OGCDPPDJ_00166 (Uncharacterized); OGCDPPDJ_00195 (Uncharacterized); OGCDPPDJ_00196 (Uncharacterized); OGCDPPDJ_00214 (Uncharacterized); OGCDPPDJ_00215 (Uncharacterized); OGCDPPDJ_00235 (Uncharacterized); OGCDPPDJ_00239 (Uncharacterized); OGCDPPDJ_00315 (Uncharacterized); OGCDPPDJ_00330 (Uncharacterized); OGCDPPDJ_00349 (Uncharacterized); OGCDPPDJ_00367 (Uncharacterized); OGCDPPDJ_00421 (Uncharacterized); OGCDPPDJ_00422 (Uncharacterized); OGCDPPDJ_00543 (Uncharacterized); OGCDPPDJ_00588 (Uncharacterized); OGCDPPDJ_00647 (Uncharacterized); OGCDPPDJ_00703 (Uncharacterized); OGCDPPDJ_00716 (Uncharacterized); OGCDPPDJ_00728 (Uncharacterized); OGCDPPDJ_00783 (Uncharacterized); OGCDPPDJ_00823 (Uncharacterized); OGCDPPDJ_00824 (Uncharacterized); OGCDPPDJ_00864 (Uncharacterized); OGCDPPDJ_01066 (Uncharacterized); OGCDPPDJ_01198 (Uncharacterized); OGCDPPDJ_01221 (Uncharacterized); OGCDPPDJ_01225 (Uncharacterized); OGCDPPDJ_01226 (Uncharacterized); OGCDPPDJ_01274 (Uncharacterized); OGCDPPDJ_01300 (Uncharacterized); OGCDPPDJ_01340 (Uncharacterized); OGCDPPDJ_01377 (Uncharacterized); OGCDPPDJ_01454 (Uncharacterized); OGCDPPDJ_01455 (Uncharacterized); OGCDPPDJ_01456 (Uncharacterized); OGCDPPDJ_01457 (Uncharacterized); OGCDPPDJ_01479 (Uncharacterized); OGCDPPDJ_01487 (Uncharacterized); OGCDPPDJ_01488 (Uncharacterized); OGCDPPDJ_01504 (Uncharacterized); OGCDPPDJ_01509 (Uncharacterized); OGCDPPDJ_01526 (Uncharacterized); OGCDPPDJ_01576 (Uncharacterized); OGCDPPDJ_01637 (Uncharacterized); OGCDPPDJ_01638 (Uncharacterized); OGCDPPDJ_01645 (Uncharacterized); OGCDPPDJ_01646 (Uncharacterized); OGCDPPDJ_01649 (Uncharacterized); OGCDPPDJ_01658 (Uncharacterized); OGCDPPDJ_01659 (Uncharacterized); OGCDPPDJ_01764 (Uncharacterized); OGCDPPDJ_01796 (Uncharacterized); OGCDPPDJ_01797 (Uncharacterized); OGCDPPDJ_01801 (Uncharacterized); OGCDPPDJ_01861 (Uncharacterized); OGCDPPDJ_01862 (Uncharacterized); OGCDPPDJ_01900 (Uncharacterized); OGCDPPDJ_01908 (Uncharacterized); OGCDPPDJ_01927 (Uncharacterized); OGCDPPDJ_01939 (Uncharacterized); OGCDPPDJ_01940 (Uncharacterized); OGCDPPDJ_01997 (Uncharacterized); OGCDPPDJ_02042 (Uncharacterized); OGCDPPDJ_02100 (Uncharacterized); OGCDPPDJ_02120 (Uncharacterized); OGCDPPDJ_02136 (Uncharacterized); OGCDPPDJ_02268 (Uncharacterized); OGCDPPDJ_02290 (Uncharacterized); OGCDPPDJ_02295 (Uncharacterized); OGCDPPDJ_02309 (Uncharacterized); OGCDPPDJ_02343 (Uncharacterized); OGCDPPDJ_02384 (Uncharacterized); OGCDPPDJ_02385 (Uncharacterized); OGCDPPDJ_02462 (Uncharacterized); OGCDPPDJ_02463 (Uncharacterized); OGCDPPDJ_02471 (Uncharacterized); OGCDPPDJ_02472 (Uncharacterized); OGCDPPDJ_02486 (Uncharacterized); OGCDPPDJ_02692 (Uncharacterized); OGCDPPDJ_02693 (Uncharacterized); OGCDPPDJ_02694 (Uncharacterized); OGCDPPDJ_02695 (Uncharacterized); OGCDPPDJ_02696 (Uncharacterized); OGCDPPDJ_02705 (Uncharacterized); OGCDPPDJ_02760 (Uncharacterized); OGCDPPDJ_02761 (Uncharacterized); OGCDPPDJ_02793 (Uncharacterized); OGCDPPDJ_02834 (Uncharacterized); OGCDPPDJ_02844 (Uncharacterized); OGCDPPDJ_02858 (Uncharacterized); OGCDPPDJ_02862 (Uncharacterized); OGCDPPDJ_02893 (Uncharacterized); OGCDPPDJ_02902 (Uncharacterized); OGCDPPDJ_02933 (Uncharacterized); OGCDPPDJ_02939 (Uncharacterized); OGCDPPDJ_02942 (Uncharacterized); OGCDPPDJ_02946 (Uncharacterized); OGCDPPDJ_02979 (Uncharacterized); OGCDPPDJ_02993 (Uncharacterized); OGCDPPDJ_03005 (Uncharacterized); OGCDPPDJ_03022 (Uncharacterized); OGCDPPDJ_03023 (Uncharacterized); OGCDPPDJ_03028 (Uncharacterized); OGCDPPDJ_03142 (Uncharacterized); OGCDPPDJ_03157 (Uncharacterized); OGCDPPDJ_03165 (Uncharacterized); OGCDPPDJ_03179 (Uncharacterized); OGCDPPDJ_03304 (Uncharacterized); OGCDPPDJ_03432 (Uncharacterized); OGCDPPDJ_03496 (Uncharacterized); OGCDPPDJ_03532 (Uncharacterized); OGCDPPDJ_03551 (Uncharacterized); OGCDPPDJ_03565 (Uncharacterized); OGCDPPDJ_03652 (Uncharacterized); OGCDPPDJ_03704 (Uncharacterized); OGCDPPDJ_03707 (Uncharacterized); OGCDPPDJ_03708 (Uncharacterized); OGCDPPDJ_03709 (Uncharacterized); OGCDPPDJ_03710 (Uncharacterized); OGCDPPDJ_03711 (Uncharacterized); OGCDPPDJ_03733 (Uncharacterized); OGCDPPDJ_03734 (Uncharacterized); OGCDPPDJ_03751 (Uncharacterized); OGCDPPDJ_03807 (Uncharacterized); OGCDPPDJ_03808 (Uncharacterized); OGCDPPDJ_03823 (Uncharacterized); OGCDPPDJ_03839 (Uncharacterized); OGCDPPDJ_03849 (Uncharacterized); OGCDPPDJ_03864 (Uncharacterized); OGCDPPDJ_03897 (Uncharacterized); OGCDPPDJ_03898 (Uncharacterized); OGCDPPDJ_03899 (Uncharacterized); OGCDPPDJ_03914 (Uncharacterized); OGCDPPDJ_03915 (Uncharacterized); OGCDPPDJ_03927 (Uncharacterized); OGCDPPDJ_03932 (Uncharacterized); OGCDPPDJ_03933 (Uncharacterized); OGCDPPDJ_03943 (Uncharacterized); OGCDPPDJ_03944 (Uncharacterized); OGCDPPDJ_03987 (Uncharacterized); OGCDPPDJ_03989 (Uncharacterized); OGCDPPDJ_03990 (Uncharacterized); OGCDPPDJ_04057 (Uncharacterized); OGCDPPDJ_04144 (Uncharacterized); OGCDPPDJ_04167 (Uncharacterized); OGCDPPDJ_04187 (Uncharacterized); OGCDPPDJ_04206 (Uncharacterized); OGCDPPDJ_04207 (Uncharacterized); OGCDPPDJ_04234 (Uncharacterized); OGCDPPDJ_04277 (Uncharacterized); OGCDPPDJ_04278 (Uncharacterized); OGCDPPDJ_04305 (Uncharacterized); OGCDPPDJ_04414 (Uncharacterized); OGCDPPDJ_04416 (Uncharacterized); OGCDPPDJ_04442 (Uncharacterized)
COG,"[O] Post-translational modification, protein turnover, chaperones",Functional mechanisms,107,OGCDPPDJ_00120 (Uncharacterized); OGCDPPDJ_00127 (Uncharacterized); OGCDPPDJ_00151 (Uncharacterized); OGCDPPDJ_00155 (Uncharacterized); OGCDPPDJ_00172 (Uncharacterized); OGCDPPDJ_00257 (Uncharacterized); OGCDPPDJ_00285 (Uncharacterized); OGCDPPDJ_00286 (Uncharacterized); OGCDPPDJ_00287 (Uncharacterized); OGCDPPDJ_00291 (Uncharacterized); OGCDPPDJ_00301 (Uncharacterized); OGCDPPDJ_00376 (Uncharacterized); OGCDPPDJ_00377 (Uncharacterized); OGCDPPDJ_00461 (Uncharacterized); OGCDPPDJ_00465 (Uncharacterized); OGCDPPDJ_00574 (Uncharacterized); OGCDPPDJ_00575 (Uncharacterized); OGCDPPDJ_00576 (Uncharacterized); OGCDPPDJ_00583 (Uncharacterized); OGCDPPDJ_00635 (Uncharacterized); OGCDPPDJ_00795 (Uncharacterized); OGCDPPDJ_00800 (Uncharacterized); OGCDPPDJ_00820 (Uncharacterized); OGCDPPDJ_00821 (Uncharacterized); OGCDPPDJ_00822 (Uncharacterized); OGCDPPDJ_00839 (Uncharacterized); OGCDPPDJ_00912 (Uncharacterized); OGCDPPDJ_00947 (Uncharacterized); OGCDPPDJ_00968 (Uncharacterized); OGCDPPDJ_00969 (Uncharacterized); OGCDPPDJ_01118 (Uncharacterized); OGCDPPDJ_01218 (Uncharacterized); OGCDPPDJ_01370 (Uncharacterized); OGCDPPDJ_01374 (Uncharacterized); OGCDPPDJ_01376 (Uncharacterized); OGCDPPDJ_01378 (Uncharacterized); OGCDPPDJ_01432 (Uncharacterized); OGCDPPDJ_01555 (Uncharacterized); OGCDPPDJ_01585 (Uncharacterized); OGCDPPDJ_01603 (Uncharacterized); OGCDPPDJ_01606 (Uncharacterized); OGCDPPDJ_01607 (Uncharacterized); OGCDPPDJ_01613 (Uncharacterized); OGCDPPDJ_01636 (Uncharacterized); OGCDPPDJ_01686 (Uncharacterized); OGCDPPDJ_01687 (Uncharacterized); OGCDPPDJ_01755 (Uncharacterized); OGCDPPDJ_01844 (Uncharacterized); OGCDPPDJ_01911 (Uncharacterized); OGCDPPDJ_01932 (Uncharacterized); OGCDPPDJ_02150 (Uncharacterized); OGCDPPDJ_02151 (Uncharacterized); OGCDPPDJ_02213 (Uncharacterized); OGCDPPDJ_02245 (Uncharacterized); OGCDPPDJ_02286 (Uncharacterized); OGCDPPDJ_02401 (Uncharacterized); OGCDPPDJ_02429 (Uncharacterized); OGCDPPDJ_02430 (Uncharacterized); OGCDPPDJ_02435 (Uncharacterized); OGCDPPDJ_02467 (Uncharacterized); OGCDPPDJ_02511 (Uncharacterized); OGCDPPDJ_02546 (Uncharacterized); OGCDPPDJ_02547 (Uncharacterized); OGCDPPDJ_02595 (Uncharacterized); OGCDPPDJ_02609 (Uncharacterized); OGCDPPDJ_02612 (Uncharacterized); OGCDPPDJ_02659 (Uncharacterized); OGCDPPDJ_02722 (Uncharacterized); OGCDPPDJ_02723 (Uncharacterized); OGCDPPDJ_02808 (Uncharacterized); OGCDPPDJ_02851 (Uncharacterized); OGCDPPDJ_02852 (Uncharacterized); OGCDPPDJ_02879 (Uncharacterized); OGCDPPDJ_02919 (Uncharacterized); OGCDPPDJ_02920 (Uncharacterized); OGCDPPDJ_02959 (Uncharacterized); OGCDPPDJ_02975 (Uncharacterized); OGCDPPDJ_02998 (Uncharacterized); OGCDPPDJ_03029 (Uncharacterized); OGCDPPDJ_03033 (Uncharacterized); OGCDPPDJ_03035 (Uncharacterized); OGCDPPDJ_03060 (Uncharacterized); OGCDPPDJ_03113 (Uncharacterized); OGCDPPDJ_03143 (Uncharacterized); OGCDPPDJ_03148 (Uncharacterized); OGCDPPDJ_03196 (Uncharacterized); OGCDPPDJ_03333 (Uncharacterized); OGCDPPDJ_03394 (Uncharacterized); OGCDPPDJ_03440 (Uncharacterized); OGCDPPDJ_03441 (Uncharacterized); OGCDPPDJ_03636 (Uncharacterized); OGCDPPDJ_03642 (Uncharacterized); OGCDPPDJ_03723 (Uncharacterized); OGCDPPDJ_03923 (Uncharacterized); OGCDPPDJ_03992 (Uncharacterized); OGCDPPDJ_04040 (Uncharacterized); OGCDPPDJ_04042 (Uncharacterized); OGCDPPDJ_04050 (Uncharacterized); OGCDPPDJ_04051 (Uncharacterized); OGCDPPDJ_04129 (Uncharacterized); OGCDPPDJ_04130 (Uncharacterized); OGCDPPDJ_04320 (Uncharacterized); OGCDPPDJ_04393 (Uncharacterized); OGCDPPDJ_04394 (Uncharacterized); OGCDPPDJ_04408 (Uncharacterized); OGCDPPDJ_04409 (Uncharacterized); OGCDPPDJ_04411 (Uncharacterized)
COG,[V] Defense mechanisms,Functional mechanisms,59,OGCDPPDJ_00064 (Uncharacterized); OGCDPPDJ_00065 (Uncharacterized); OGCDPPDJ_00068 (Uncharacterized); OGCDPPDJ_00069 (Uncharacterized); OGCDPPDJ_00103 (Uncharacterized); OGCDPPDJ_00468 (Uncharacterized); OGCDPPDJ_00966 (Uncharacterized); OGCDPPDJ_01049 (Uncharacterized); OGCDPPDJ_01120 (Uncharacterized); OGCDPPDJ_01199 (Uncharacterized); OGCDPPDJ_01228 (Uncharacterized); OGCDPPDJ_01278 (Uncharacterized); OGCDPPDJ_01286 (Uncharacterized); OGCDPPDJ_01331 (Uncharacterized); OGCDPPDJ_01446 (Uncharacterized); OGCDPPDJ_01665 (Uncharacterized); OGCDPPDJ_01666 (Uncharacterized); OGCDPPDJ_01798 (Uncharacterized); OGCDPPDJ_01799 (Uncharacterized); OGCDPPDJ_01833 (Uncharacterized); OGCDPPDJ_01859 (Uncharacterized); OGCDPPDJ_01860 (Uncharacterized); OGCDPPDJ_01873 (Uncharacterized); OGCDPPDJ_01949 (Uncharacterized); OGCDPPDJ_02130 (Uncharacterized); OGCDPPDJ_02145 (Uncharacterized); OGCDPPDJ_02274 (Uncharacterized); OGCDPPDJ_02281 (Uncharacterized); OGCDPPDJ_02282 (Uncharacterized); OGCDPPDJ_02382 (Uncharacterized); OGCDPPDJ_02383 (Uncharacterized); OGCDPPDJ_02645 (Uncharacterized); OGCDPPDJ_02905 (Uncharacterized); OGCDPPDJ_02906 (Uncharacterized); OGCDPPDJ_02909 (Uncharacterized); OGCDPPDJ_02910 (Uncharacterized); OGCDPPDJ_03052 (Uncharacterized); OGCDPPDJ_03389 (Uncharacterized); OGCDPPDJ_03405 (Uncharacterized); OGCDPPDJ_03464 (Uncharacterized); OGCDPPDJ_03494 (Uncharacterized); OGCDPPDJ_03495 (Uncharacterized); OGCDPPDJ_03555 (Uncharacterized); OGCDPPDJ_03556 (Uncharacterized); OGCDPPDJ_03562 (Uncharacterized); OGCDPPDJ_03730 (Uncharacterized); OGCDPPDJ_03809 (Uncharacterized); OGCDPPDJ_03931 (Uncharacterized); OGCDPPDJ_03981 (Uncharacterized); OGCDPPDJ_03995 (Uncharacterized); OGCDPPDJ_03996 (Uncharacterized); OGCDPPDJ_04024 (Uncharacterized); OGCDPPDJ_04114 (Uncharacterized); OGCDPPDJ_04268 (Uncharacterized); OGCDPPDJ_04269 (Uncharacterized); OGCDPPDJ_04279 (Uncharacterized); OGCDPPDJ_04280 (Uncharacterized); OGCDPPDJ_04281 (Uncharacterized); OGCDPPDJ_04317 (Uncharacterized)
COG,Multiple COG,Functional mechanisms,3,OGCDPPDJ_00462 (Uncharacterized); OGCDPPDJ_00837 (Uncharacterized); OGCDPPDJ_03316 (Uncharacterized)
